Day,Susceptible,Infectious,Recovered
103,0.03835060872175369,0.022610877838113715,0.9390405134401328
104,0.038061561745478735,0.0206388370305773,0.9413016012239442
105,0.03779971295548067,0.018836802117517634,0.943365484927002
106,0.03756237105113355,0.01719046381011299,0.9452491651387538
107,0.03734713285774137,0.015686655622493877,0.9469682115197651
108,0.03715184898719907,0.014313273930786794,0.9485368770820145
109,0.03697459412333606,0.013059201401571116,0.9499682044750932
110,0.036813641232870065,0.011914234151880003,0.9512741246152503
111,0.036667439118992826,0.01086901285056924,0.9524655480304383
112,0.036534592829998894,0.009914957854506249,0.9535524493154952
113,0.0364138465139519,0.00904420838510262,0.9545439451009459
114,0.03630406837529346,0.0082495656852508,0.9554483659394561
115,0.036204237443058854,0.007524440048960325,0.9562733225079812
116,0.03611343190500598,0.006862801582117165,0.9570257665128773
117,0.03603081879913486,0.006259134529776568,0.957712046671089
118,0.0359556448851076,0.005708394990826173,0.9583379601240667
119,0.035887228544056245,0.005205971832794913,0.9589087996231493
120,0.03582495257707043,0.004747650616501232,0.9594293968064288
